,song_title,album_name,lyrics
183,Jawbreaker,Rarities and Unreleased Material (Unofficial),"Jawbreaker LyricsIt was like this in 1999
It was like this in 1874
It was like this when you were a child
It was like this when I was a whore, well
They were amassing troops on the back of the isles
They were saying these things; they were all in denial
They were talking 'bout their own front lip
It smelled like, it smelled like shit
And they, they were eating popcorn out of a dish
They were saying, ""I wish, I wish, I wish!""
I was buried there in 1999
I was left there; I left my old self behind
Still living but you know I'm not in denial
I said what I said, and I said this
""In 1918, things were better, when I was nothing but a sweater.""
Now I'm born again as another man
I'm living on this in this foreign land
I used to be Angora, Angora fleece
Living all sound and I'd eat in peace
And no one knew, and no one cared
And you didn't know what you wanted there
It's not what you were thinking
Living as a resurrection, breathed out the cinnamon
And I was not to be confused
And in 1882, they still sold it to those fucks
Things were going wrong from the beginning
And no one was losing and no one was winning
They just fucked each other up

And in 1999, I was in a park in Chicago
Aw, that was right
He was like a father and he knew what he was saying
And wait, I'm not talking 'bout this bullshit
And I went to talk to the, the Italian boys who hung out there
They said that they would rather see me dead
Or at least not kept
They broke my jaw and I was left to thaw
I walked away and I called my Mom
I said, ""Hell yeah! It sucked, yeah! I loved it!""
Break my jaw now
You bring on, you bring it on
You got your ring on your pretty little finger now
One thing you remembered
You were never even once being clever
And you were, were sleeping
You were sleeping when they're saying that there was a phone, yeah
Mistakes were made and I ended up in Florida
Things were not right, I didn't care though
(No matter) what you do, and what you become
Either way, you end up all dumb
That's all right with me now, that's all right with me now
Whether you want to see it

The troops, they were amassing on the porch
They wanted to be their own damn thorn
And in the court of (?) center
The things were better and no one's really tougher
You're talkin' loud, you're talkin' proud
You trumpin' now
Aw shit, well, you said then, what you meant then
What you did then was you wanted to have sex
You could not do, you could not do
You could not pull it out but you tried to
And you said, ""Well, I don't need-
I don't need to wear myself a bikini tonight,""
It brings me to the embarrassment
I was sitting on a raft with the pond sediment
And they said, ""Hell, yeah, oh hell, yeah!
You look naked as shit but you're drunk so you don't care!""
Well, WHAT WERE YOU THINKING?

[Song ends]

[Isaac]: So if anyone's recording this show, if I could have a copy of that... please, 'cause it's the only time I'll ever hear it either

*gibberish* Don't ask me to speak fuckin' English again! I'm in Canada, I speak Canadian, man

You know, that was about as dumb as it gets. Y'all just ignore that, drink a beer and forget itEmbed"
184,"Whenever I Breathe out, You Breathe In (Positive Negative) [Live]",Interstate 8,"Whenever I Breathe out, You Breathe In (Positive Negative) [Live] Lyrics[Intro]
Hey, haven't seen you around in a while
Hey, haven't seen you around in a while, oh no
Hey, haven't seen you around in a while
Hey

[Verse 1]
I didn't go to work for a month
I didn't leave my bed for eight days straight
I haven't hung out with anyone
If I did, I'd have nothing to say
I didn't feel angry or depressed
I didn't feel anything at all
I didn't want to go to bed
I didn't want to stay up late
When you're living your life, well, that's the price you'll pay
[Chorus]
Whenever I breathe out, you're breathing in
Whenever I speak out, you take it all away
Whenever I breathe out, you're breathing in
Whenever I speak out, you take it all away

[Bridge]
Your feelings are positive, negative, positive, negative
I'm feeling this positive, negative, positive, negative

[Outro]
I didn't go to work for a month
I didn't leave my bed for eight days straight
I haven't hung out with anyone
If I did, I'd have nothing to sayEmbed"
185,Paper Thin Walls (Live 2004),Baron Von Bullshit Rides Again,"Paper Thin Walls (Live 2004) Lyrics[Audience Cheering]

[Chorus]
These walls are paper thin
And everyone hears every little sound
Everyone's a voyeur
As they're watching me watch them watch me right now
They're shaking hands, they're shaking in their shoes
Oh Lord, don't shake me down
Everyone wants two of them
And half of everyone else who's around
It's been agreed the whole world stinks
So no one's taking showers anymore

[Verse 1]
Laugh hard, it's a long ways to the bank
I can't be blamed for nothing anymore
It's been a long time since you've been around
Laugh hard, it's long ways to the bank
[Verse 2]
Tow the line to tax the time, you know
That you don't owe
I can't be a fool for everyone
That I don't know

[Chorus]
These walls are paper thin
And everyone hears every little sound
Everyone's a voyeur
As they're watching me watch them watch me right now
They're shaking hands, they're shaking in their shoes
Oh Lord, don't shake me down
Everyone wants two of them
And half of everyone else who's around
Mmm, no one's taking showers anymore

[Refrain]
Laugh hard it's long ways to the bank

[Outro]
Tow the line to tax the time, you know
That you don't owe
I can't be a fool for everyone
That I don't know
[Audience Applause]

[Freebird Rant]

Audience Member #1: Freebird!

IB: I know I've said this before, but the odds of us actually playing ""Freebird""? There are no odds. It's not gonna happen. I'll start with a first reason. We have no idea how to play ""Freebird."" The second reason is, in the love bug's national- natural uh habitat, that would just fuckin' kill him, and you wouldn't want that now. He is adorable. He is cute. Thirdly, even if- even if- well, pick your deity, whoever- came down from the heavens or wherever the hills- wherever the deity lives and shit themselves, and blessed us with the vast knowledge of ""Freebird."" We can play it backwards, we can sing backwards, we can do all that crazy shit. We still just wouldn't do it

[Audience Members Clapping]

Audience Member 2: Fuck Seth!

Audience Member 3: Destiny's Child!

IB: If this were the Make A Wish Foundation and you were gonna die in 20 minutes, right as soon as y'know like- just long enough to play ""Freebird,"" we still wouldn't play it

[Audience Cheers]

IB: And here is the end reason. The end reason is because life is too fuckin' short to play ""Freebird.""

[Audience Cheers]Embed"
186,Ugly Casanova,Sad Sappy Sucker Chokin on a Mouthful of Lost Thoughts,"Ugly Casanova LyricsUgly Casanova says
""Somebody else knows I can""
Then go for who I am
And goes for a walk away from me
Ugly Casanova says
""Somebody else knows I can""

Ugly Casanova says
""Raise, raise, raise, raise, raise it over
My disability""
Then go for who I am
Goes, ""No no no no, try again""
But I'll be just who I please!

""Say you're sorry!""
Oh, I am, I am
""Say the alphabet!""
A, B, C, I can't
""Say you're sorry!""
Oh, I am, I am
""Say the alphabet!""
A, B, C, I can't

Ugly Casanova says
""Somebody else knows I can""
Then go for who I am
Goes for a walk away from hereEmbed"
187,A Hip-Hop Song,"Uncle Bunny Faces’ Useless Analogy Involving Distance, Freight Trains, and Half Ripe Limes (It Doesn’t Matter, Limes Are Sour Either Way)",
188,Super Saver Day,"Tube-Fruit, All Smiles and Chocolate","Super Saver Day Lyrics[Verse 1]
Supermarket choices
All the stupid choices
It's a super saver day
Walking down the aisle
Big ol' stupid smile
Hold on to that child, don't you let it get away

[Verse 2]
God, you're such a freak show
Think you'll get it cheap so
Wish that you would knew that there is nothing left to save

[Verse 3]
Always take the tops off
You could get a hot dog
Only 29 cents on Tuesdays (On Tuesdays, on Tuesdays)
[Verse 4]
Supermarket choices
All the stupid voices
It's a double coupon day
Walking down the aisle
Big ol' stupid smile
Hold on to that child, don't you let them get away

[Outro]
Supermarket choices
All the stupid choices
Listen to your voices and say how you think I'm not the sameEmbed"
189,20 Times to Exhale / Anandas Birthday Song,"Uncle Bunny Faces’ Useless Analogy Involving Distance, Freight Trains, and Half Ripe Limes (It Doesn’t Matter, Limes Are Sour Either Way)",
190,"Reason, Vandetta, and Problem","Uncle Bunny Faces’ Useless Analogy Involving Distance, Freight Trains, and Half Ripe Limes (It Doesn’t Matter, Limes Are Sour Either Way)","Reason, Vandetta, and Problem Lyrics[Intro]
Reason, vandetta, and problem
I got a reason

[Instrumental Break]

[?]

[Instrumental Break]Embed"
191,The Good Times Are Killing Me (Live 2004),Baron Von Bullshit Rides Again,"The Good Times Are Killing Me (Live 2004) Lyrics[Intro]
Here we go!

[Verse 1]
Got dirt, got air, got water
And I know you can carry on
The good times are killing me
Shrugged off shortsighted false excitement
And oh what can I say?
The good times are killing me
Have one, have twenty more ""one mores""
And oh it does not relent
The good times are killing me

[Verse 2]
Kick butt, buzz-cut, dickheads
Who didn't like what I said
The good times are killing me
Jaws clenched tight, we talked all night
Oh but what the hell did we say?
The good times are killing me
[Chorus]
The good times are killing me
The good times are killing me

[Bridge]
So long to all that LSD
Need more sleep than coke or methamphetamines
(I need more sleep, oh God, I need more sleep)
Late nights with warm, warm whiskey
I guess the good times they were all just killing me

[Verse 3]
Got dirt, got air, got water
And I know you can carry on
The good times are killing me
Enough hair of the dog to make myself an entire rug
The good times are killing me
Have one, have twenty more ""one mores""
And oh it does not relent
The good times are killing me
Shit-kicker, city slickers who all wanted me dead
The good times are killing me
Get sucked in and fucked up in more late nights
With more folks that I don't know
The good times are killing me
[Outro]
The good times are killing me
The good times are killing me
The good times are killing me
The good times are killing me

[Audience Applause]Embed"
192,The Gravity Involved in Climbing,"Tube-Fruit, All Smiles and Chocolate","The Gravity Involved in Climbing LyricsHow high do I have to go to get out?
How far do I have to go to get out?
What do I [?]
When you run

When you run
When you run
[?]
When you run
When you run

[Unintelligible talking on the background about a tree]

How far can I climb before
Everything [?]
How far can I climb
I climb
I climb
What's the price and how do I go
Away
How do I go
And why can't I stayEmbed"
193,Humpin’ Pumpkin,Rarities and Unreleased Material (Unofficial),"Humpin’ Pumpkin LyricsMy dad's got a dog, he calls it ’Humpin' Pumpkin'
If you give it a chance, it’ll make you its woman
My dad's got a dog called 'Humpin' Pumpkin'
If you give it a chance, it's gonna make you its woman
So, my dad has a dog he calls, he calls it 'Humpin' Pumpkin’
If you give that dog a chance, he’ll try to make you its womanEmbed"
194,Bankrupt on Selling (Live 2004),Baron Von Bullshit Rides Again,"Bankrupt on Selling (Live 2004) Lyrics[Audience Applause]

[Acoustic Guitar Intro]

[Verse 1]
Well all the Apostles, they're sitting in swings
And I'd trade off my Savior for a set of new rings
And some sandals with the style of straps that cling best to the era

[Verse 2]
So all of the businessers in their unlimited hell
Where they buy and they sell and they sell
All their trash to each other
But they're sick of it all
And they're bankrupt on selling
[Verse 3]
Well all of the angels, they'd sell off your soul
For a pair of new wings and anything gold
They remember the people they loved, their old friends
And I've seen through 'em all
I've seen through 'em all
And seen through most everything

[Refrain]
All the people you knew were the actors
All them people you knew were the actors

[Acoustic Guitar Solo]

[Verse 4]
Well, I'll go to college and I'll learn some big words
And I'll talk real loud, goddamn right I'll be heard
You'll remember the guy that said all those big words
He must've learned in college

[Outro]
And it took a long time until I came clean with myself
I finally come clean out of love with my lover
I still love her, loved her more
When she used to be sober and I was kinder
[Audience Applause]Embed"
